DBN,SCHOOL NAME,Num of AP Test Takers,Num of AP Total Exams Taken,Num of AP Exams Passed
12X446,ARTURO A. SCHOMBURG SATELLITE ACADEMY BRONX,s,s,s
12X478,THE CINEMA SCHOOL,85,196,15
12X479,BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL,s,s,s
12X480,BRONX REGIONAL HIGH SCHOOL,s,s,s
12X550,HIGH SCHOOL OF WORLD CULTURES,19,22,8
12X682,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,35,35,9
12X684,WINGS ACADEMY,27,36,8
12X690,MONROE ACADEMY FOR BUSINESS/LAW,9,9,s
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,s,s,s
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,13,19,s
13K336,ACADEMY OF BUSINESS AND COMMUNITY DEVELOPMENT,s,s,s
13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART,s,s,s
13K412,"BROOKLYN COMMUNITY HIGH SCHOOL OF COMMUNICATION, ARTS AND MEDIA",15,15,s
13K419,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TECHNOLOGY AND THE CREATIVE ARTS",81,96,7
13K430,BROOKLYN TECHNICAL HIGH SCHOOL,2516,4427,3333
13K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,s,s,s
13K483,THE URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE,34,53,36
13K499,ACORN COMMUNITY HIGH SCHOOL,37,47,s
13K509,FREEDOM ACADEMY HIGH SCHOOL,s,s,s
13K527,URBAN ASSEMBLY INSTITUTE OF MATH AND SCIENCE FOR YOUNG WOMEN,s,s,s
13K553,BROOKLYN ACADEMY HIGH SCHOOL,s,s,s
13K575,BEDFORD STUYVESANT PREPARATORY HIGH SCHOOL,s,s,s
13K595,BEDFORD ACADEMY HIGH SCHOOL,124,152,26
13K605,GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,28,31,9
13K616,BROOKLYN HIGH SCHOOL FOR LEADERSHIP AND COMMUNITY SERVICE,s,s,s
13K670,BENJAMIN BANNEKER ACADEMY,146,203,82
13K674,"CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHITECTURE, AND TECHNOLOGY",s,s,s
14K071,JUAN MOREL CAMPOS SECONDARY SCHOOL,14,14,12
14K322,FOUNDATIONS ACADEMY,s,s,s
14K404,ACADEMY FOR YOUNG WRITERS,23,23,9
14K449,"BROOKLYN LATIN SCHOOL, THE",s,s,s
14K454,GREEN SCHOOL: AN ACADEMY FOR ENVIRONMENTAL CAREERS,s,s,s
14K474,PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS,36,50,s
14K477,SCHOOL FOR LEGAL STUDIES,53,68,10
14K478,"THE HIGH SCHOOL FOR ENTERPRISE, BUSINESS AND TECHNOLOGY",75,96,37
14K488,BROOKLYN PREPARATORY HIGH SCHOOL,49,62,s
14K558,WILLIAMSBURG HIGH SCHOOL FOR ARCHITECTURE AND DESIGN,32,46,9
14K561,WILLIAMSBURG PREPARATORY SCHOOL,54,61,28
14K586,LYONS COMMUNITY SCHOOL,s,s,s
14K610,AUTOMOTIVE HIGH SCHOOL,s,s,s
14K632,FRANCES PERKINS ACADEMY,s,s,s
14K685,EL PUENTE ACADEMY FOR PEACE AND JUSTICE,s,s,s
14K923,AUTOMOTIVE HIGH SCHOOL YABC,s,s,s
15K429,BROOKLYN SCHOOL FOR GLOBAL STUDIES,18,19,s
15K448,BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES,s,s,s
15K462,SECONDARY SCHOOL FOR LAW,35,50,19
15K463,SECONDARY SCHOOL FOR JOURNALISM,9,9,s
15K464,PARK SLOPE COLLEGIATE,s,s,s
15K497,SCHOOL FOR INTERNATIONAL STUDIES,26,27,s
15K519,COBBLE HILL SCHOOL OF AMERICAN STUDIES,64,72,s
15K520,PACIFIC HIGH SCHOOL,s,s,s
15K529,WEST BROOKLYN COMMUNITY HIGH SCHOOL,s,s,s
15K530,METROPOLITAN CORPORATE ACADEMY HIGH SCHOOL,s,s,s
15K656,BROOKLYN HIGH SCHOOL OF THE ARTS,44,61,22
15K667,SUNSET PARK HIGH SCHOOL,s,s,s
15K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,s,s,s
16K393,FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL,s,s,s
16K455,BOYS AND GIRLS HIGH SCHOOL,s,s,s
16K498,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY,47,63,s
16K594,GOTHAM PROFESSIONAL ARTS ACADEMY,s,s,s
16K688,THE BROOKLYN ACADEMY OF GLOBAL FINANCE,s,s,s
17K382,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL,29,36,8
17K408,ACADEMY OF HOSPITALITY AND TOURISM,33,33,s
17K467,ERASMUS YABC,s,s,s
17K489,W.E.B. DUBOIS ACADEMIC HIGH SCHOOL,s,s,s
17K524,INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS,s,s,s
17K528,THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP,s,s,s
17K531,"SCHOOL FOR HUMAN RIGHTS, THE",7,7,s
17K533,SCHOOL FOR DEMOCRACY AND LEADERSHIP,s,s,s
17K537,HIGH SCHOOL FOR YOUTH AND COMMUNITY DEVELOPMENT AT ERASMUS,11,11,s
17K539,HIGH SCHOOL FOR SERVICE & LEARNING AT ERASMUS,s,s,s
17K543,"SCIENCE, TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS",24,24,s
17K544,INTERNATIONAL ARTS BUSINESS SCHOOL,s,s,s
17K546,HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW,86,115,10
17K547,BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,38,60,s
17K548,BROOKLYN SCHOOL FOR MUSIC & THEATRE,s,s,s
17K568,BROWNSVILLE ACADEMY HIGH SCHOOL,s,s,s
17K590,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,343,588,156
17K600,CLARA BARTON HIGH SCHOOL,128,195,56
17K625,PAUL ROBESON HIGH SCHOOL,s,s,s
17K751,ACADEMY FOR HEALTH CAREERS,s,s,s
18K563,IT TAKES A VILLAGE ACADEMY,19,23,s
18K566,BROOKLYN GENERATION SCHOOL,s,s,s
18K567,BROOKLYN THEATRE ARTS HIGH SCHOOL,s,s,s
18K569,KURT HAHN EXPEDITIONARY LEARNING SCHOOL,s,s,s
18K576,VICTORY COLLEGIATE HIGH SCHOOL,11,21,s
18K578,BROOKLYN BRIDGE ACADEMY,s,s,s
18K589,ARTS & MEDIA PREPARATORY ACADEMY,s,s,s
18K617,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDIA,s,s,s
18K629,CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,6,6,s
18K633,HIGH SCHOOL FOR MEDICAL PROFESSIONS,59,62,6
18K635,OLYMPUS ACADEMY,s,s,s
18K637,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,s,s,s
18K642,URBAN ACTION ACADEMY,21,21,s
18K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,s,s,s
19K409,EAST NEW YORK FAMILY ACADEMY,10,10,s
19K420,FRANKLIN K. LANE HIGH SCHOOL,s,s,s
19K431,THOMAS JEFFERSON YABC,s,s,s
19K502,FDNY HIGH SCHOOL FOR FIRE AND LIFE SAFETY,s,s,s
19K504,HIGH SCHOOL FOR CIVIL RIGHTS,8,10,s
19K507,PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL,s,s,s
19K510,WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HIGH SCHOOL,8,8,s
19K583,MULTICULTURAL HIGH SCHOOL,9,9,s
19K615,TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,64,71,6
19K618,ACADEMY OF INNOVATIVE TECHNOLOGY,19,19,s
19K639,BROOKLYN LAB SCHOOL,s,s,s
19K659,CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,7,7,s
19K660,W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,s,s,s
19K683,"THE SCHOOL FOR CLASSICS: AN ACADEMY OF THINKERS, WRITERS AND PERFORMERS",24,29,s
20K445,NEW UTRECHT HIGH SCHOOL,264,362,155
20K485,HIGH SCHOOL OF TELECOMMUNICATION ARTS AND TECHNOLOGY,132,146,63
20K490,FORT HAMILTON HIGH SCHOOL,435,705,414
20K505,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,216,308,173
20K609,THE URBAN ASSEMBLY SCHOOL FOR CRIMINAL JUSTICE,s,s,s
20K658,FRANKLIN DELANO ROOSEVELT YABC,s,s,s
21K337,INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,s,s,s
21K344,RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES,55,71,6
21K348,HIGH SCHOOL OF SPORTS MANAGEMENT,s,s,s
21K410,ABRAHAM LINCOLN HIGH SCHOOL,121,149,79
21K412/21K411,ABRAHAM LINCOLN YABC/LEARNING TO WORK GED AT ABRAHAM LINCOLN,s,s,s
21K468,KINGSBOROUGH EARLY COLLEGE SCHOOL,s,s,s
21K525,EDWARD R. MURROW HIGH SCHOOL,457,690,406
21K540,JOHN DEWEY HIGH SCHOOL,278,511,253
21K559,LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC,s,s,s
21K572,EXPEDITIONARY LEARNING SCHOOL FOR COMMUNITY LEADERS,13,18,s
21K620,WILLIAM E. GRADY CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,49,49,s
21K690,BROOKLYN STUDIO SECONDARY SCHOOL,42,43,17
21K728,LIBERATION DIPLOMA PLUS,s,s,s
22K405,MIDWOOD HIGH SCHOOL,788,1226,706
22K425,JAMES MADISON HIGH SCHOOL,263,378,215
22K495,SHEEPSHEAD BAY HIGH SCHOOL,29,45,13
22K535,LEON M. GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES,386,651,398
22K555,BROOKLYN COLLEGE ACADEMY,s,s,s
23K493,BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL,s,s,s
23K514,FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL,29,31,s
23K643,BROOKLYN DEMOCRACY ACADEMY,s,s,s
23K646,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,s,s,s
23K647,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,s,s,s
23K697,TEACHERS PREPARATORY HIGH SCHOOL,41,60,s
24Q264,ACADEMY OF FINANCE AND ENTERPRISE,135,208,36
24Q267,HIGH SCHOOL OF APPLIED COMMUNICATION,67,69,6
24Q293,CIVIC LEADERSHIP ACADEMY,40,65,13
24Q296,PAN AMERICAN INTERNATIONAL HIGH SCHOOL,s,s,s
24Q299,BARD HIGH SCHOOL EARLY COLLEGE II,s,s,s
24Q455,NEWTOWN HIGH SCHOOL,213,269,132
24Q457,YOUNG ADULT BOROUGH CENTER AT ARTS AND BUSINESS HS,s,s,s
24Q485,GROVER CLEVELAND HIGH SCHOOL,150,223,92
24Q520,MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,s,s,s
24Q530,INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,s,s,s
24Q550,HIGH SCHOOL FOR ARTS AND BUSINESS,257,386,77
24Q560,"ROBERT F. WAGNER, JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY",s,s,s
24Q600,QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL,s,s,s
24Q610,AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL,152,172,115
24Q744,VOYAGES PREPARATORY,s,s,s
25Q252,"QUEENS SCHOOL OF INQUIRY, THE",42,42,19
25Q263,FLUSHING INTERNATIONAL HIGH SCHOOL,s,s,s
25Q281,EASTsWEST SCHOOL OF INTERNATIONAL STUDIES,s,s,s
25Q285,WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHOOL,104,130,43
25Q425,JOHN BOWNE HIGH SCHOOL,336,548,239
25Q460,FLUSHING HIGH SCHOOL,370,550,133
25Q467,FLUSHING YABC,s,s,s
25Q525,TOWNSEND HARRIS HIGH SCHOOL,758,1249,937
25Q540,QUEENS ACADEMY HIGH SCHOOL,s,s,s
25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHOOL,95,151,43
25Q792,NORTH QUEENS COMMUNITY HIGH SCHOOL,s,s,s
26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,722,1294,873
26Q430,FRANCIS LEWIS HIGH SCHOOL,819,1191,712
26Q435,MARTIN VAN BUREN HIGH SCHOOL,62,68,8
26Q495,BAYSIDE HIGH SCHOOL,734,1056,493
26Q566,"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES",34,36,11
27Q260,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL,12,12,s
27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH,38,38,13
27Q302,"QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH, AND TECHNOLOGY",s,s,s
27Q308,ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION ARTS AND TECHNOLOGY,62,112,17
27Q309,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL,10,10,s
27Q323,SCHOLARS' ACADEMY,77,138,92
27Q400,AUGUST MARTIN HIGH SCHOOL,s,s,s
27Q410,BEACH CHANNEL HIGH SCHOOL,s,s,s
27Q475,RICHMOND HILL HIGH SCHOOL,135,164,33
27Q480,JOHN ADAMS HIGH SCHOOL,221,287,57
27Q650,"HIGH SCHOOL FOR CONSTRUCTION TRADES, ENGINEERING AND ARCHITECTURE",134,180,39
28Q284,YORK EARLY COLLEGE ACADEMY,s,s,s
28Q310,QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL,67,110,11
28Q325,HILLSIDE ARTS & LETTERS ACADEMY,s,s,s
28Q338,QUEENS SATELLITE HIGH SCHOOL FOR OPPORTUNITY,s,s,s
28Q350,JAMAICA GATEWAY TO THE SCIENCES,8,8,6
28Q440,FOREST HILLS HIGH SCHOOL,882,1235,629
28Q470,JAMAICA HIGH SCHOOL,s,s,s
28Q505,HILLCREST HIGH SCHOOL,216,317,69
28Q620,THOMAS A. EDISON CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,221,309,114
28Q680,QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,115,146,67
28Q686,QUEENS METROPOLITAN HIGH SCHOOL,15,15,6
28Q687,QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEGE,231,427,345
28Q690,HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFETY,19,19,s
28Q896,"YOUNG WOMEN'S LEADERSHIP SCHOOL, QUEENS",18,23,s
29Q248,QUEENS PREPARATORY ACADEMY,16,16,s
29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOARD SCHOOL,18,20,s
29Q265,EXCELSIOR PREPARATORY HIGH SCHOOL,s,s,s
29Q272,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENCES,19,32,s
29Q283,PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD SCHOOL,71,99,8
29Q326,CAMBRIA HEIGHTS ACADEMY,s,s,s
29Q492,"MATHEMATICS, SCIENCE RESEARCH AND TECHNOLOGY MAGNET HIGH SCHOOL",s,s,s
29Q494,"LAW, GOVERNMENT AND COMMUNITY SERVICE HIGH SCHOOL",s,s,s
29Q496,"BUSINESS, COMPUTER APPLICATIONS & ENTREPRENEURSHIP HIGH SCHOOL",s,s,s
29Q498,HUMANITIES & ARTS MAGNET HIGH SCHOOL,s,s,s
30Q286,"YOUNG WOMEN'S LEADERSHIP SCHOOL, ASTORIA",s,s,s
30Q301,ACADEMY FOR CAREERS IN TELEVISION AND FILM,54,72,40
30Q445,WILLIAM CULLEN BRYANT HIGH SCHOOL,231,326,156
30Q450,LONG ISLAND CITY HIGH SCHOOL,576,1035,228
30Q501,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,135,176,83
30Q502,INFORMATION TECHNOLOGY HIGH SCHOOL,46,47,17
30Q555,NEWCOMERS HIGH SCHOOL,163,203,153
30Q575,ACADEMY OF AMERICAN STUDIES,104,156,100
30Q580,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,s,s,s
31R047,CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES,66,74,26
31R064,GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL,31,48,9
31R080,THE MICHAEL J. PETRIDES SCHOOL,174,313,45
31R440,NEW DORP HIGH SCHOOL,143,185,76
31R445,PORT RICHMOND HIGH SCHOOL,210,340,86
31R450,CURTIS HIGH SCHOOL,426,510,113
31R455,TOTTENVILLE HIGH SCHOOL,424,861,335
31R460,SUSAN E. WAGNER HIGH SCHOOL,373,589,221
31R470,CONCORD HIGH SCHOOL,s,s,s
31R600,RALPH R. MCKEE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,s,s,s
31R605,STATEN ISLAND TECHNICAL HIGH SCHOOL,595,1098,977
31R607,YOUNG ADULT BOROUGH CENTER AT STATEN IS TECH HS,s,s,s
32K403,ACADEMY FOR ENVIRONMENTAL LEADERSHIP,27,47,6
32K545,EBC HIGH SCHOOL FOR PUBLIC SERVICEâ€“BUSHWICK,19,19,s
32K549,BUSHWICK SCHOOL FOR SOCIAL JUSTICE,s,s,s
32K552,ACADEMY OF URBAN PLANNING,36,43,20
32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL,24,43,16
32K556,BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLENCE,39,44,19
32K564,BUSHWICK COMMUNITY HIGH SCHOOL,s,s,s
75K371,P.S. 371 s LILLIAN L. RASHKIS,s,s,s
75M035,P.S. 035,s,s,s
75Q256,P.S. Q256,s,s,s
75Q811,P.S. Q811,s,s,s
75R025,SOUTH RICHMOND HIGH SCHOOL I.S./P.S. 25,s,s,s
75X012,P.S. X012 LEWIS AND CLARK SCHOOL,s,s,s
75X754,J. M. RAPPORT SCHOOL CAREER DEVELOPMENT,s,s,s
79M645,SCHOOL FOR COOPERATIVE TECHNICAL EDUCATION,s,s,s
79Q950,GED PLUS s CITYWIDE,s,s,s
79X490,PHOENIX ACADEMY,s,s,s
