PropID,Boro,Community Board,Council District,Garden Name,Address,Size,Jurisdiction,NeighborhoodName,Cross Streets
NA,Q,Q07,20,P.S. 120Q - Millenium Garden,58-01 136th Street,0.010,DOE,Flushing,58th & 59th Streets
NA,B,B16,41,P.S. 137,121 Saratoga Avenue,0.735,DOE,Bed-Stuy,
NA,X,X09,18,P.S. 138X,2060 Lafayette Avenue,1.345,DOE,,
NA,Q,Q06,0,P.S. 139Q,93-06 63rd Drive,NA,DOE,,
B442,B,B05,37,P.S. 149 - Artsy Bloom Community Garden,365-67 Wyona Street,0.057,DPR,East New York,Developed
NA,B,B16,37,P.S. 155,1355 Herkimer Street,0.689,DOE,,
NA,X,X04,16,P.S. 156 Garden,750 Concourse Village West,0.046,DOE,,
NA,B,B12,39,P.S. 164 - Stepping Into the New Millenium,4211 14th Avenue,0.069,DOE,,
NA,B,B12,44,P.S. 180 - Our Secret Garden,5601-23 16th Avenue  Brooklyn NY 11204,NA,DOE,,
NA,B,B17,45,P.S. 181K - Garden Club,1023 New York Avenue,NA,DOE,,
NA,M,M10,9,P.S. 185/208M,20 W. 112th Street,NA,DOE,Upper West Side,5th & Lenox Avenue
X330,X,X03,16,P.S. 186 - Day Treatment Program,745 Jennings Street,0.060,DPR,,Active
NA,B,B01,34,P.S. 19K - Kid's Garden,"325 South 3rd Street Brooklyn, NY 11211",NA,DOE,Williamsburg,Keap & Rodney
NA,Q,Q04,0,P.S. 19Q,"99th Street and Roosevelt Avenue.  Queens, NY 11368",NA,DOE,Corona,"98th, 41st Avenue"
NA,M,M10,0,P.S. 200,2599 7th Avenue.  NY NY 10039,NA,TPL/DOE,Central Harlem,150th St
NA,M,M10,9,P.S. 207/149,34 W. 118th Street,NA,DOE,,
NA,B,B17,45,P.S. 208,"4801 Avenue D  Brooklyn, NY 11234",NA,TPL/DOE,,E 48th & 49th Street
NA,X,X05,0,P.S. 226 Garden,1950 Sedgwick Avenue,NA,DOE,,corner of West Burnside & Sedgwick
NA,X,X06,15,P.S. 23,2175 Washington Avenue,NA,DOE,,
NA,B,N/A,0,P.S. 235,"525 Lenox Road, Brooklyn NY 11203",NA,DOE,North Flatbush,E 39th st
NA,M,M10,0,P.S. 242,"134 West 122nd Street, NY, NY 10027",NA,DOE,Central Harlem,"121st & 122nd, 6th & 7th Avenue"
NA,B,B08,0,P.S. 243 - Weeksville School,1580 Dean Street,NA,DOE,Crown Heights,Troy Avenue & Bergen Street
NA,X,X06,15,P.S. 246,2641 Grand Concourse,NA,DOE,,
NA,B,B11,44,P.S. 247K,7000 21st Avenue,0.040,DOE,,
NA,B,B14,40,P.S. 249,18 Marlborough Road,NA,DOE,,
NA,B,B01,34,P.S. 250,108 Montrose Avenue,0.005,DOE,,
NA,Q,Q13,0,P.S. 251Q,144-51 144th Road,0.138,DOE,Springfield Gardens,Arthur Street
NA,B,B17,41,P.S. 268,133 E. 53rd Street,0.035,DOE,,
NA,B,B06,0,P.S. 27 / M.S. 826,27 Huntington Street Brooklyn. NY 11231,NA,DOE,,Hicks Street & Columbia Street
NA,X,X01,8,P.S. 30X,S/E/C Brook Avenue & E. 141 Street,0.207,DOE,,
NA,B,B14,45,P.S. 315K,2310 Glenwood  Rd.,NA,DOE,,
M113,M,M03,2,P.S. 361 - The Children's Garden,East 12th Street,0.028,DPR,East Village,Active
NA,B,B06,39,P.S. 372@834 / The Children's School,219 First Street,NA,DOE,,Carrol Street
NA,X,X05,0,P.S. 396 / M.S. 390 X,"1930 Andrews Avenue, Bronx NY 10453",NA,TPL/DOE,Kingbridge Heights,Burnside & University
NA,B,B17,40,P.S. 399,2707 Albemarle Road,0.505,DOE,,
NA,M,M12,0,P.S. 4 - Duke Ellington Harmony Garden,500 West 160th Street,NA,DOE,Harlem,
NA,B,B05,42,P.S. 4 at P.S. 843,530 Stanley Avenue,0.023,DOE,East New York,
NA,Q,Q12,28,P.S. 48Q,155-02 108th Avenue,NA,DOE,,
NA,Q,Q05,0,P.S. 49Q,79-15 Penelope Avenue,0.007,DOE,,Corner of Penelope & 79th Street
B417,B,B05,37,P.S. 4K - Paradise Garden,676-696 Glenmore Avenue,0.300,DPR,East New York,Active
NA,M,M04,0,P.S. 51,520 West 45th Street  NY  NY 10036,NA,DOE,Clinton Hill,10th & 11th Avenue
B485,B,B05,42,P.S. 53,522 Bradford Street,0.062,DPR,East New York,Active
NA,B,B14,40,P.S. 6 - Operation Push,2242-62 Bedford Avenue,NA,DOE,,
NA,X,N/A,0,P.S. 63 X,"1261 Franklyn Avenue.  Bronx, NY 10456",NA,DOE,Morrisania,169th & Fulton Avenue
NA,X,X01,17,P.S. 65 - Garden Club,677 East 141st,0.034,DOE,,Cypress & Powers
NA,B,B02,35,P.S. 67 - Charles Dorsey School,51 St. Edwards Street,NA,DOE,,Between Park & Mrytle
NA,B,B02,33,P.S. 753K @ The Bklyn. School for Career Development,372 Schermerhorn Street,0.032,DOE,Boerum Hill,475 State & 3rd Avenue
M356,M,M10,9,P.S. 76 - Garden of Perserverance,203 W. 120th Street   NY NY 10027,0.057,DPR,Harlem,Active
NA,B,B06,33,P.S. 77K @ P. S 902K,62 Park Place,0.023,DOE,Park Slope,6th & 5th Avenue
NA,Q,N/A,0,P.S. 86Q,87-41 Parsons Boulevard.,NA,DOE,,87th Avenue
NA,Q,Q05,26,P.S. 9 - Enis Garden,58-74 57th Street,NA,DOE,,
NA,B,B08,35,P.S. 9 - Winston Robins Memorial Garden,"80 Underhill Avenue  Broolyn, NY   11328",NA,DOE,Prospect Heights,Bergan & Street Marks
NA,X,X10,0,P.S. 9 X,"230 East 183rd Street, Bronx NY 10458",NA,DOE,Grand Concourse,Ryer & Valentine Avenue
NA,Q,Q10,28,P.S. 96Q - Garden of Hope,130-01 Rockaway Boulevard.,NA,DOE,So. Ozone Park,130th & Lincoln
NA,M,M12,10,P.S./I.S. 176,4862 Broadway,NA,DOE,,W 204 / Academy St
NA,M,N/A,0,P.S./I.S. 217 - Rooselvelt Island School,645 Main Street,NA,DOE,Roosevelt Island,
NA,B,B02,33,Pacific High School,112 Schermerhorn Street,NA,DOE,Boerum Hill,Boerum Place & Smith Streets
X285,X,X01,8,Padre Plaza (Success Garden),541-545 E. 139th Street,0.367,DPR,,Active
NA,B,B05,37,Pagans Garden (Linwood Street Block Association),992 Sutter Avenue,0.034,HPD,,At Linwood Street
NA,X,X01,17,Palmas del Caribe (Eagle Avenue Community Garden),869 Eagle Avenue,0.241,TPL,Melrose,
NA,M,M11,8,Papos Garden,218-220 E. 119th Street,0.034,TPL,East Harlem,2nd & 3rd
NA,X,X02,18,Paradise on Earth Garden,1101-1105 Fox Street,0.252,NYRP,,East 167th Street
NA,M,M03,2,Parque De Tranquilidad,314-318 East 4th Street,0.082,TPL,East Village,Avenues C & D
NA,X,X01,17,Passages Academy,511 E. 149th Street & 511 E. 150th Street,NA,DOE,,
NA,B,B03,41,Patchen Avenue United Block Association,49 Patchen Avenue,0.055,TPL,Bed-Stuy,
B500,B,B03,41,Patrick Van Doren Pocket Park,123 Malcolm X Avenue,0.039,DPR,Bed-Stuy,Active
NA,R,R01,,Pavilion Horticultural Garden,Brownell Street #11,NA,PRI,,Brownell St & Tompkins St
M367,M,M11,8,Peaceful Valley,50-52 East 117th Street,0.052,DPR,East Harlem,Active
M350,M,M03,2,Peachtree Garden,236-238 East 2nd Street,0.120,DPR,East Village,Active
NA,Q,Q11,19,Pembroke Avenue Community Garden (Van Nostrand Court Garden),E/S Pembroke Avenue,0.095,NYRP,,N/O Little Neck Pkwy.
NA,B,B04,34,People's Garden (Youth City Little League),1237-1241 Broadway,0.172,TPL,Bed-Stuy,Greene & Bushwick Avenues
B517,B,B16,,Phoenix Community Garden (formerly Somers Street),Corner of Fulton & Somers Street,NA,DPR,,Active
M299,M,M11,8,Pleasant Village Community Garden,342-353 Pleasant Avenue. /502 E. 119th Street,0.380,DPR/HPD,East Harlem,Active
B531,B,B03,,Plenty: Food For All,Hunterfly Place and Atlantic Avenue,0.062,DPR,,Active
B504,B,B18,42,Ponderosa Garden,664 East 105th Street,0.092,DPR,,Active
NA,B,B02,33,Poplar Street Community Garden,Poplar Street,0.028,DOT,Brooklyn Heights,At Hicks St
B509,B,B05,37,Poppa & Momma Jones Historical Garden,337 Van Siclen Avenue,0.138,DPR,East New York,Active
B486,B,B16,42,Powell Street Block Association - Powell St,633 Powell Street,0.019,DPR,Brownsville,Active
B516,B,B16,42,Powell Street Garden-Livonia,Powell Street,0.459,DPR,Brownsville,Active
B426,B,B01,34,Powers Street Garden,276-278 Powers Street,0.115,DPR,,Active
B487,B,B16,41,Preston Community Garden,1711 Park Place,0.580,DPR,Brownsville,Active
Q475,Q,Q06,29,Project Eden,Kessel Street,0.108,DPR,Forest Hills,Active
B423,B,B01,,Project Roots Garden,94 - 110 Walton St.,0.172,DPR,,
B506,B,B05,42,Prophecy Garden Church of God of Prophecy,43-69 Malta Street,0.505,DPR/HPD,East New York,Active
B524,B,B08,35,Prospect Heights Community Farm,252-256 St. Marks Avenue,0.193,TPL,Prospect Heights,Active
M384,M,M11,9,Pueblo Unido,1659 Madison Avenue,0.054,DPR,East Harlem,Active
X317,X,X03,17,Rainbow Block Association.,379 East 159th Street,0.174,DPR,Melrose,Active
NA,B,B08,41,Ralph-Lincoln Service Center,1652-1654 St. John's Place,0.163,TPL,Brownsville,
X325,X,X09,15,Randall Community Garden (Taylor Soundview Block Association),Randall Avenue,0.232,DPR,,Active
B488,B,B03,36,Red Gate Garden,604 Marcy Avenue,0.086,DPR,Bed-Stuy,Active
B126B,B,B07,,Red Hook Farm/Added Value,558 Columbia Street,NA,DPR,Red Hook,Active
B489,B,B01,34,Red Shed Garden (GREC),Humbolt Street,0.123,DPR,,Active
M352,M,M03,2,Relaxation Garden (Suen Dragon Garden),209 Avenue B,0.063,DPR,East Village,Active
M316,M,M10,9,Rev. Linnette C. Williamson Memorial Park,65-67 W. 128th Street,0.057,PRI,West Harlem,Active
M071B,M,M12,7,RING Garden - Riverside Inwood Neighborhood Garden,1835 Riverside Drive,0.115,DPR,Inwood,Active
X335,X,X07,15,Risse Street Community Garden (Triangle Park),2 East Mosholu Parkway,0.694,DPR,,Active
X245,X,X06,,River Garden,1086 East 180th Street,0.440,DPR,West Farms,Active
M072,M,M09,0,Riverside Valley Community Garden,Riverside Park/138th Street,0.115,DPR,Hamilton Heights,Active
NA,X,X04,16,Roberto Clemente Community Garden,1272-1280 Shakespeare Avenue,0.254,TPL,Highbridge,Shakespeare Avenue & W 169th St
M375,M,M11,8,Rodale Pleasant Park Community Garden,437-39 East 114th Street/448-450 East 115th Street,0.225,NYRP/DPR,East Harlem,Active
NA,B,B14,40,Rogers/Tilden/Veronica Place Block Association,2601-2603 Tilden Avenue.,0.158,TPL,,
M370,M,M03,2,Sam & Sadie Koenig Garden,237 E. 7th Street,0.040,DPR,East Village,Active
B490,B,B13,47,Santos White Garden,2110 Mermaid Avenue,0.141,DPR,Coney Island,Active
X332,X,X02,17,Schomburg Satellite Academy H.S.,869 E 164th Street,0.032,DPR,Morrisania,Active
NA,Q,Q14,31,Seagirt Community Garden,3003 Seagirt Boulevard.,0.138,NYRP,Far Rockaway,B30th & B31st
B530,B,B03,,Seasons of Vision,9-11 Rochester Avenue,0.083,DPR,,Active
M332,M,M03,1,Secret Garden,293-297 East 4th Street,0.050,DPR,East Village,Active
NA,B,B13,47,Senior Citizens Block Association of Mermaid Avenue,2917-2923 West 20th Street,NA,HPD,Coney Island,Mermaid & Surf Avenues
NA,M,M09,7,Senior Citizens Sculpture Garden Park,West 153rd Street,0.406,DEP,Hamilton Heights,Street Nicholas & Amsterdam Avenues
NA,M,M09,7,Serenity Gardens,522 West 146th Street,0.091,TPL,Hamilton Heights,
NA,B,B05,42,Sheffield South Block Association,673 Sheffield Avenue,0.087,TPL,East New York,
NA,X,X04,16,Sheridan Manor Community Garden,1340 Sheridan Avenue,0.195,DOE,,
NA,X,X04,16,Sherman Avenue Community Garden,953-955 Sherman Avenue,0.110,TPL,,164th & 165th Streets
B491,B,B05,37,Shield of Faith,79-85 Montauk Street,0.172,DPR,East New York,Active
B502,B,B03,36,Shiloh Garden Inc.,323-325 Monroe Street,0.074,DPR,,Active
B476,B,B16,41,Shma Yisrael,2084-90 Pacific Street,0.145,DPR,Bed-Stuy,Active
NA,B,B08,41,Society for Preservation of Weeksville,1688-1696 Bergen Street,0.351,DCA,,Troy & Utica Avenue
NA,X,X01,17,South Bronx High School - Unity Garden,701 St. Ann's Avenue,0.023,DOE,Melrose,Westchester Avenue & 156th St
B519,B,B03,34,Spencer Street Community Garden,230A Spencer Street,0.043,DPR,Bed-Stuy,Active
X345,X,X01,,St. Anns Block Garden Association,666-68 St. Ann's Avenue,0.029,DPR,,Active
B492,B,B05,37,St. John Cantius Parish,476-484 New Jersey Avenue,0.183,DPR,East New York,Active
NA,B,B08,41,St. Johns Place Renaissance Garden,1642 St. John's Place,0.089,TPL,Brownsville,Ralph & Buffalo Avenue
NA,B,B08,35,St. Marks Avenue/ Prospect Heights Community Garden,207 St. Marks Avenue,0.075,TPL,Prospect Heights,Vanderbilt & Carlton Avenues
B501,B,B16,41,St. Marks Block Association,"455,457-63 Ralph Avenue",0.196,DPR,Brownsville,Active
B503,B,B03,36,Stars of Hope Community Garden,213 Madison Street,0.033,DPR,,Active
B505,B,B16,41,Sterling Community Group,"1701,1713,1715 Sterling Place",0.116,DPR,Brownsville,Active
B383,B,B05,,Success Garden,461 Williams Avenue,0.918,DPR,,
NA,M,M03,2,Suffolk Street Community Garden,174 Suffolk Street,0.053,NYRP,Lower East Side,Houston & Stanton
M319,M,M09,0,Sugar Hill Park,339-341 Edgecombe Avenue.,0.069,DPR,,Active
B411,B,B06,39,Summit Street Community Garden,281-283 Columbia Street,0.103,DPR,Red Hook,Active
B525,B,B03,41,Sumpter Community Garden,182 Sumpter Street,0.057,DPR,,Active
B427,B,B01,34,Sunshine Community Garden,99-100 McKibben Street,0.115,DPR,Williamsburg,Active
NA,B,B13,47,Surf Side Garden,2829 Surf Avenue,NA,HPD,Coney Island,At W. 29th Street
X296,X,X04,16,Taqwa Community Farm,90 W 164th Street,0.490,DPR,Highbridge,Active
NA,X,X04,16,Target (Bronx) Community Garden (Anderson Avenue Community Garden),1001 Anderson Avenue,0.253,NYRP,Highbridge,W 164th & W 165th Streets
NA,B,B03,36,Target (Brooklyn) Community Garden (Bedford Avenue Block Association Garden),931-933 Bedford Avenue,0.092,NYRP,Bed-Stuy,DeKalb & Willoughby Avenue
NA,M,M11,8,Target East Harlem Community Garden,415-421 East 117th Street,0.163,DPR,East Harlem,1st Avenue & E 117th St
NA,M,M11,8,Target East Harlem Community Garden (St. Mark's Monastery 2),429-433 East 117th Street,0.142,NYRP,East Harlem,1st & Pleasant Avenues
B445,B,B01,34,Ten Eyck Houses HDFC,15-17 Ten Eyck Street,0.114,DPR,East Williamsburg,Active
NA,B,B05,42,Thomas Jefferson High School,642-648 Blake Avenue,0.036,DOE,East New York,Pennsylvania Avenueune
B416,B,B05,37,TLC Sculpture Park,271 Glenmore Avenue,0.172,DPR,East New York,Active
X331,X,X05,14,Townsend Garden (Mt. Hope Housing Co.),1735 Walton Avenue,0.150,DPR,Mt. Eden,Active
NA,M,M03,2,Toyota Childrens Learning Garden (Coradan Evaeden),603 East 11th Street,0.037,NYRP,East Village,Avenues B & C
NA,B,B03,,Tranquility Farm,267 Throop Ave.,NA,HPD,,
NA,X,X06,15,Tremont Community Garden,S/W/C E. 178th St. & LaFontaine Avenue.,0.057,TPL,,E. 178th & LaFontaine Avenue
B496,B,B05,0,"Triple R/Relaxation, Reflection, Revenue (Victoria Garden)",613 Hendrix Street,NA,DPR,East New York,Active
Q477A,Q,Q01,0,Two Coves Garden,30th Avenue & Main Avenue & Astoria Boulevard,0.770,DPR,,Active
B515,B,B05,,United Community Centers Site I,285 - 303 New Lots Avenue,0.546,DPR,,
NA,B,B03,36,United Herkimer Garden Club,97 Herkimer Street,0.055,TPL,,Nostrand & Bedford Avenue
M298,M,M10,21,Unity Garden,53-55 West 128th Street,0.129,DPR,West Harlem,Active
NA,B,B13,47,Unity Tower Tenant Association,1917-23 Surf Avenue,0.210,HPD,Coney Island,W 20th St
B493,B,B05,37,Upon This Rock Community Garden,2556 Pitkin Avenue.,0.081,DPR,East New York,Active
M343,M,M03,0,Vamos Sembrar: For the Beloved and Otherwise Forgotten,198 Avenue B,0.023,DPR,,Active
NA,B,B03,,Van Buren Street Garden,49 Van Buren Street,NA,HPD,,
B495,B,B03,34,Vernon (Throop Avenue Block Assoc.),253 Throop Avenue,0.039,DPR,Bed-Stuy,Active
B508,B,B03,36,Vernon New Harvest,42-48 Vernon Avenue,0.165,DPR,Bed-Stuy,Active
B494,B,B03,34,Vernon T&T Block Assoc.,200 Vernon Ave.,0.046,DPR,Bed-Stuy,Active
B523,B,B13,47,Victory Garden,Shell Road,0.174,DPR/DEP,Coney Island,Active
X010C,X,X03,20,Victory Garden - Crotona Park,Fulton Avenue / 171 St / Crotona Park South,0.463,DPR,,Active
B518,B,B03,,Victory Gardens Group,953 Gates Avenue,0.152,DPR,,
NA,M,M11,9,Villa Santurce Jardinera - 112th Street,74 E. 112th Street,0.045,HPD,East Harlem,Park & Madison Avenues
NA,M,M11,9,Villa Santurce Jardineras - Park Avenue,Park Avenue,0.090,HPD,East Harlem,111th & 112th Streets
X347,X,X01,17,Vogue Community Garden,431 E. 156th Street,0.047,DPR,Melrose,Active
B456,B,B08,35,Walt L. Shamal Community Garden,1093-1095 Dean Street,0.149,DPR,Crown Heights,Active
NA,X,X07,11,Walton High School,2780 Reservoir Avenue,0.046,DOE,Kingsbridge Heights,Strong & 196th Street
X272A,X,X01,8,Wanaqua Garden,460-464 E. 136th Street,0.228,DPR,,Active
NA,B,B06,38,Warren-St.Marks Community Garden,623 Warren Street,0.057,TPL,Park Slope,b/w 4th & 5th avenue
X088A,X,X09,18,Waterfront Community Garden,2008 Gildersleeve Avenue,0.270,DPR,Soundview,Active
B538,B,B03,36,Welcome Home Garden,681 Halsey Street,0.059,DPR,Bed-Stuy,Developed
M306,M,M07,8,West 104th Street Garden,6-10 W. 104th Street/ 14-18 W. 104th Street,0.380,DPR,Upper West Side,Active
M368,M,M09,9,West 111th Street People's Garden,1036-53 Amsterdam Avenue,0.109,DPR,Upper West Side,Active
M362,M,M10,9,West 124th Street Community Garden,West 124th Street and 5th Avenue,0.046,DPR,,Active
M380,M,M10,,West 131st Street Community Garden,34 West 131st Street,NA,DPR,Harlem,Active
M296,M,M10,9,West 132nd Street Garden,108-114 W. 132nd Street,0.171,DPR,Central Harlem,Active
NA,M,M12,7,West 181st Street Beautification Project,814 West 181st Street,0.046,DOT,Washington Heights,Pinehurst/181st
M307,M,M07,6,West 87th Street Park & Garden,55-57 West 87th Street,0.090,DPR,Upper West Side,Active
NA,B,B08,36,Westbrook Memorial Garden,1233 Pacific Street,0.118,TPL,Crown Heights,Bedford & Nostrand Avenues
NA,R,R01,49,Westervelt Community & Family Garden,143 Westervelt Avenue,0.011,NYRP,,At Curtis Pl near Hamilton Avenue
M322,M,M09,7,William A. Harris Garden,NWC of 153rd St & St. Nicholas,NA,DPR,,Active
M328,M,M10,9,William B. Washington Memorial Garden,321-325 West 126th Street,0.090,DPR,,Active
NA,B,B05,37,Williams Avenue Community Garden (formerly Shaw Block Association),88 Williams Avenuenue,0.126,NYRP,,Liberty & Atlantic
X164A,X,X02,,Wishing Well Garden,886 Reverend James A. Polite,0.351,DPR,,Active
NA,B,BK4,34,Woodbine St. Block Assoc.,146 Woodbine Street,0.057,TPL,,
X333,X,X04,16,Woodycrest Community Garden,949 Woodycrest Avenue,0.012,DPR,Highbridge,Active
