BRONX CONDOMINIUM PROPERTY Boro-Block-Lot,BRONX CONDOMINIUM PROPERTY Condo Section,BRONX CONDOMINIUM PROPERTY Address,BRONX CONDOMINIUM PROPERTY Neighborhood,BRONX CONDOMINIUM PROPERTY Building Classification,BRONX CONDOMINIUM PROPERTY Total Units,BRONX CONDOMINIUM PROPERTY Year Built,BRONX CONDOMINIUM PROPERTY Gross SqFt,BRONX CONDOMINIUM PROPERTY Est. Gross Income,BRONX CONDOMINIUM PROPERTY Gross Income per SqFt,BRONX CONDOMINIUM PROPERTY Full Market Value,BRONX CONDOMINIUM PROPERTY Market Value per SqFt, COMPARABLE RENTAL 1 Boro-Block-Lot,COMPARABLE RENTAL 1 Address,COMPARABLE RENTAL 1  Neighborhood,COMPARABLE RENTAL 1  Building Classification,COMPARABLE RENTAL 1  Total Units,COMPARABLE RENTAL 1  Year Built,COMPARABLE RENTAL 1  Gross SqFt,COMPARABLE RENTAL 1  Est. Gross Income,COMPARABLE RENTAL 1  Gross Income per SqFt,COMPARABLE RENTAL 1 Full Market Value,COMPARABLE RENTAL 1  Market Value per SqFt,COMPARABLE RENTAL 1  Dist. from Coop in miles,COMPARABLE RENTAL 2  Boro-Block-Lot,COMPARABLE RENTAL 2  Address,COMPARABLE RENTAL 2  Neighborhood,COMPARABLE RENTAL 2  Building Classification,COMPARABLE RENTAL 2  Total Units,COMPARABLE RENTAL 2  Year Built,COMPARABLE RENTAL 2  Gross SqFt,COMPARABLE RENTAL 2  Est. Gross Income,COMPARABLE RENTAL 2  Gross Income per SqFt,COMPARABLE RENTAL 2  Full Market Value,COMPARABLE RENTAL 2  Market Value per SqFt,COMPARABLE RENTAL 2  Dist. from Coop in miles
2-02364-7501,99-R1,3044 3 AVENUE,MORRISANIA/LONGWOOD,R4-ELEVATOR,61,2006,72000,794160,11.03,2470000,34.3,2-02743-0030,1057 HOE AVENUE,MORRISANIA/LONGWOOD,D7-ELEVATOR,55,1913,53744,516905,9.62,1470000,27.4,1.15,2-02612-0058,1229 FRANKLIN AVENUE,MORRISANIA/LONGWOOD,D7-ELEVATOR,62,1928,68722,758209,11.03,2160000,31.4,0.9
2-02368-7501,97-R1,488 EAST 164 STREET,MORRISANIA/LONGWOOD,R4-ELEVATOR,100,2003,58252,602325,10.34,2018902,34.7,2-02697-0045,941 INTERVALE AVENUE,MORRISANIA/LONGWOOD,D7-ELEVATOR,49,1925,58650,606609,10.34,1880000,32.1,0.65,2-02677-0070,919 PROSPECT AVENUE,MORRISANIA/LONGWOOD,D7-ELEVATOR,44,1907,57600,492441,8.55,1270000,22.05,0.5
2-02516-7501,73-R1,1209 NELSON AVENUE,HIGHBRIDGE/MORRIS HEIGHTS,R4-ELEVATOR,28,2005,24262,339182,13.98,1239992,51,2-02707-0085,751 FOX STREET,MORRISANIA/LONGWOOD,D7-ELEVATOR,48,1924,46264,561187,12.13,1310000,28.3,2.05,2-02724-0001,997 EAST 163 STREET,MORRISANIA/LONGWOOD,D7-ELEVATOR,98,1908,113000,2295684,20.32,5370000,47.5,2
2-02686-7501,53-R1,717 KELLY STREET,MORRISANIA/LONGWOOD,R2-WALK-UP,13,1909,14384,166279,11.56,574004,39.9,2-02723-0012,923 SIMPSON STREET,MORRISANIA/LONGWOOD,D7-ELEVATOR,44,1909,48000,536292,11.17,1260000,26.3,0.55,2-02703-0001,920 INTERVALE AVENUE,MORRISANIA/LONGWOOD,D7-ELEVATOR,28,1931,34225,471278,13.77,1100000,32.1,0.4
2-02742-7501,72-R1,951 HOE AVENUE,MORRISANIA/LONGWOOD,R9-CONDOPS,300,2005,279904,3193704,11.41,10600000,37.9,2-02713-0002,955 EAST 163 STREET,MORRISANIA/LONGWOOD,D7-ELEVATOR,104,1982,148827,1474859,9.91,3450000,23.18,0.25,2-02723-0040,1018 EAST 163 STREET,MORRISANIA/LONGWOOD,D7-ELEVATOR,112,1909,156980,1790959,11.41,4190000,26.7,0.15
2-02748-7501,46-R1,1010 FAILE STREET,MORRISANIA/LONGWOOD,R2-WALK-UP,78,1930,93600,1090440,11.65,3760010,40.2,2-02735-0005,916 SOUTHERN BOULEVARD,MORRISANIA/LONGWOOD,D7-ELEVATOR,38,1911,50030,582859,11.65,2010000,40.2,0.3,2-02707-0085,751 FOX STREET,MORRISANIA/LONGWOOD,D7-ELEVATOR,48,1924,46264,561187,12.13,1310000,28.3,0.7
2-02931-7501,96-R1,1349 FRANKLIN AVENUE,MORRISANIA/LONGWOOD,R2-WALK-UP,16,2007,18300,247599,13.53,904000,49.4,2-03348-0081,315 EAST 209 STREET,BEDFORD PARK/NORWOOD,C1-WALK-UP,23,1926,18450,244442,13.25,631000,34.2,3.4,2-04847-0039,800 EAST 223 STREET,WILLIAMSBRIDGE,C1-WALK-UP,23,1927,18850,257707,13.67,801000,42.5,4.25
2-03083-7501,90-R1,2135 CROTONA AVENUE,EAST TREMONT,R2-WALK-UP,16,2006,14200,284000,20,1229994,87,2-03077-0050,2463 HUGHES AVENUE,BELMONT,C1-WALK-UP,16,2004,13520,260295,19.25,1130000,84,0.45,2-05798-0101,3615 OXFORD AVENUE,RIVERDALE,C1-WALK-UP,15,1980,7550,164391,21.77,714000,95,2.8
2-03125-7501,104-R1,2155 DALY AVENUE,EAST TREMONT,R4-ELEVATOR,12,2007,14664,271284,18.5,1070000,73,2-03199-0003,2380 GRAND AVENUE,KINGSBRIDGE HTS/UNIV HTS,C1-WALK-UP,21,1916,19190,143382,7.47,416000,21.68,1.6,2-03125-0014,2117 DALY AVENUE,EAST TREMONT,D1-ELEVATOR,18,1915,19250,228552,11.87,535000,27.8,0.05
2-03249-7501,100-R1,2792 SEDGWICK AVENUE,KINGSBRIDGE/JEROME PARK,R2-WALK-UP,40,2006,48023,649751,13.53,2369992,49.4,2-02720-0005,712 FOX STREET,MORRISANIA/LONGWOOD,D1-ELEVATOR,48,1910,48450,601627,12.42,1410000,29.1,3.9,2-02720-0063,784 FOX STREET,MORRISANIA/LONGWOOD,D1-ELEVATOR,40,1924,37000,464615,12.56,1090000,29.5,3.85
2-03261-7501,81-R1,3097 HEATH AVENUE,KINGSBRIDGE/JEROME PARK,R2-WALK-UP,16,2006,21861,295779,13.53,1080000,49.4,2-03348-0081,315 EAST 209 STREET,BEDFORD PARK/NORWOOD,C1-WALK-UP,23,1926,18450,244442,13.25,631000,34.2,1.35,2-04847-0039,800 EAST 223 STREET,WILLIAMSBRIDGE,C1-WALK-UP,23,1927,18850,257707,13.67,801000,42.5,2.25
2-03311-7501,34-R1,3130 GRAND CONCOURSE,BEDFORD PARK/NORWOOD,R9-CONDOPS,110,1968,79920,921477,11.53,3070000,38.4,2-03307-0072,3010 GRAND CONCOURSE,BEDFORD PARK/NORWOOD,D7-ELEVATOR,96,1963,106146,1152087,10.85,3580000,33.7,0.15,2-03285-0019,2976 MARION AVENUE,BEDFORD PARK/NORWOOD,D1-ELEVATOR,62,1950,67930,671815,9.89,1920000,28.3,0.4
2-03318-7501,48-R1,2805A CRESTON AVENUE,BEDFORD PARK/NORWOOD,R2-WALK-UP,18,1993,16638,211302,12.7,728997,43.8,2-03296-0047,2875 BAINBRIDGE AVENUE,BEDFORD PARK/NORWOOD,D1-ELEVATOR,38,1965,34333,446102,12.99,1630000,47.5,0.3,2-03318-0001,2755 MORRIS AVENUE,BEDFORD PARK/NORWOOD,D1-ELEVATOR,30,1931,22080,273807,12.4,851000,38.5,0.05
2-03324-7501,36-R1,75 WEST GUN HILL ROAD,BEDFORD PARK/NORWOOD,R9-CONDOPS,87,1932,87502,1093775,12.5,2975000,34,2-03156-0009,2070 GRAND CONCOURSE,FORDHAM,D7-ELEVATOR,93,1925,87156,849035,9.74,2190000,25.1,2.25,2-02552-0061,587 EAST 139 STREET,MOTT HAVEN/PORT MORRIS,D1-ELEVATOR,90,1905,91314,1144229,12.53,3950000,43.3,5.4
2-03432-7501,33-R1,228 NEPTUNE COURT,SOUNDVIEW,R2-WALK-UP,40,1989,47376,663264,14,2419994,51,2-03519-0001,501 COMMONWEALTH AVENUE,SOUNDVIEW,D1-ELEVATOR,58,1932,46680,679229,14.55,2480000,53,0.85,2-03519-0034,549 COMMONWEALTH AVENUE,SOUNDVIEW,D7-ELEVATOR,59,1932,49458,703895,14.23,2570000,52,0.85
2-03432-7501,33-R3,124 NEPTUNE LANE,SOUNDVIEW,R2-WALK-UP,14,1989,15972,191664,12,661001,41.4,2-02946-0016,1898 BELMONT AVENUE,EAST TREMONT,D5-ELEVATOR,20,1911,20025,290124,14.49,1060000,53,3.25,2-03129-0029,2131 VYSE AVENUE,EAST TREMONT,D1-ELEVATOR,20,1931,26700,267330,10.01,626000,23.45,2.95
2-03432-7501,33-R4,232 FLEET COURT,SOUNDVIEW,R2-WALK-UP,18,1989,22199,283037,12.75,976997,44,2-02946-0016,1898 BELMONT AVENUE,EAST TREMONT,D5-ELEVATOR,20,1911,20025,290124,14.49,1060000,53,3.25,2-03129-0029,2131 VYSE AVENUE,EAST TREMONT,D1-ELEVATOR,20,1931,26700,267330,10.01,626000,23.45,2.95
2-03432-7501,33-R5,201 SUNSET BOULEVARD,SOUNDVIEW,R2-WALK-UP,18,1989,20304,258876,12.75,893004,44,2-02946-0016,1898 BELMONT AVENUE,EAST TREMONT,D5-ELEVATOR,20,1911,20025,290124,14.49,1060000,53,3.25,2-03129-0029,2131 VYSE AVENUE,EAST TREMONT,D1-ELEVATOR,20,1931,26700,267330,10.01,626000,23.45,2.95
2-03432-7501,33-R6,301 ADMIRAL LANE,SOUNDVIEW,R2-WALK-UP,28,1989,34516,448708,13,1639994,47.5,2-02872-0252,1604 JESUP AVENUE,HIGHBRIDGE/MORRIS HEIGHTS,D5-ELEVATOR,29,1921,37830,382501,10.11,895000,23.66,4.25,2-03123-0053,876 EAST 180 STREET,EAST TREMONT,D1-ELEVATOR,25,1910,21582,318279,14.75,1160000,54,3
2-03929-7501,23-R1,99 METROPOLITAN OVAL,PARKCHESTER,R4-ELEVATOR,128,1933,109764,1071296,9.76,3060013,27.9,2-03925-0018,1565 THIERIOT AVENUE,PARKCHESTER,D1-ELEVATOR,120,1930,130500,1273656,9.76,3630000,27.8,0.45,2-03932-0050,2022 BENEDICT AVENUE,PARKCHESTER,D1-ELEVATOR,92,1928,103284,937568,9.08,2420000,23.43,0.25
2-03929-7501,23-R2,1469 WEST AVENUE,PARKCHESTER,R4-ELEVATOR,2121,1933,1867373,18225560,9.76,52000150,27.8,2-03925-0018,1565 THIERIOT AVENUE,PARKCHESTER,D1-ELEVATOR,120,1930,130500,1273656,9.76,3630000,27.8,0.25,2-04286-0022,2100 BRONX PARK EAST,PELHAM PARKWAY SOUTH,D1-ELEVATOR,157,1929,168990,1729743,10.24,4930000,29.2,1.2
2-03929-7501,23-R3,1925 MC GRAW AVENUE,PARKCHESTER,R4-ELEVATOR,2659,1933,2723821,26584492,9.76,75800255,27.8,2-03925-0018,1565 THIERIOT AVENUE,PARKCHESTER,D1-ELEVATOR,120,1930,130500,1273656,9.76,3630000,27.8,0.5,2-04286-0022,2100 BRONX PARK EAST,PELHAM PARKWAY SOUTH,D1-ELEVATOR,157,1929,168990,1729743,10.24,4930000,29.2,1.3
2-03929-7501,23-R4,14 METROPOLITAN OVAL,PARKCHESTER,R4-ELEVATOR,3378,1933,3364977,32842175,9.76,93699973,27.8,2-03925-0018,1565 THIERIOT AVENUE,PARKCHESTER,D1-ELEVATOR,120,1930,130500,1273656,9.76,3630000,27.8,0.4,2-04286-0022,2100 BRONX PARK EAST,PELHAM PARKWAY SOUTH,D1-ELEVATOR,157,1929,168990,1729743,10.24,4930000,29.2,1
2-03944-7501,2-R1,9 METROPOLITAN OVAL,PARKCHESTER,R4-ELEVATOR,3857,1955,3801490,37102542,9.76,105999815,27.9,2-03925-0018,1565 THIERIOT AVENUE,PARKCHESTER,D1-ELEVATOR,120,1930,130500,1273656,9.76,3630000,27.8,0.4,2-03932-0050,2022 BENEDICT AVENUE,PARKCHESTER,D1-ELEVATOR,92,1928,103284,937568,9.08,2420000,23.43,0.45
2-03944-7501,2-R2,1722 PURDY STREET,PARKCHESTER,R4-ELEVATOR,128,1955,109764,1071296,9.76,3059990,27.9,2-03895-0001,1500 NOBLE AVENUE,PARKCHESTER,D1-ELEVATOR,238,1965,265625,2295085,8.64,5920000,22.29,0.9,,,,,,,,,,,,
2-04163-7501,12-R1,1725 EDISON AVENUE,SCHUYLERVILLE/PELHAM BAY,R4-ELEVATOR,35,1965,27316,356473,13.05,1300008,47.6,2-04249-0042,2023 BURR AVENUE,SCHUYLERVILLE/PELHAM BAY,D1-ELEVATOR,37,1963,31125,406544,13.06,1480000,47.6,0.6,2-04340-0086,2255 BARKER AVENUE,BRONXDALE,D1-ELEVATOR,42,1964,31320,371997,11.88,1280000,40.9,2.15
2-04174-7501,66-R1,1600 PARKVIEW AVENUE,SCHUYLERVILLE/PELHAM BAY,R4-ELEVATOR,21,2003,16688,290538,17.41,1150000,69,2-04153-0008,1632 HUTCH RIVER PARKWAY,SCHUYLERVILLE/PELHAM BAY,D1-ELEVATOR,44,2002,41800,727898,17.41,2880000,69,0.5,2-04173-0029,1610 MAHAN AVENUE,SCHUYLERVILLE/PELHAM BAY,D7-ELEVATOR,57,1928,51000,606394,11.89,2090000,41,0.05
2-04284-7501,70-R1,2040 WHITE PLAINS ROAD,MORRIS PARK/VAN NEST,R9-CONDOPS,100,2005,108100,1120997,10.37,3580000,33.1,2-04253-0080,1975 BIRCHALL AVENUE,MORRIS PARK/VAN NEST,D1-ELEVATOR,90,2002,87902,911391,10.37,2830000,32.2,0.25,2-04253-0084,678 SAGAMORE STREET,MORRIS PARK/VAN NEST,D1-ELEVATOR,90,2002,82015,747082,9.11,2130000,26,0.25
2-04307-7501,27-R1,1144 LYDIG AVENUE,PELHAM PARKWAY SOUTH,R4-ELEVATOR,48,1964,56000,707840,12.64,2439994,43.6,2-04322-0043,2179 MATTHEWS AVENUE,PELHAM PARKWAY SOUTH,C9-WALK-UP,48,1948,35960,432598,12.03,1490000,41.4,0.45,2-04324-0001,2126 MULINER AVENUE,PELHAM PARKWAY SOUTH,C9-WALK-UP,38,1950,28979,366157,12.64,1260000,43.5,0.35
2-04340-7501,14-R1,610 WARING AVENUE,BRONXDALE,R4-ELEVATOR,122,1960,116200,1380456,11.88,4760047,41,2-04340-0086,2255 BARKER AVENUE,BRONXDALE,D1-ELEVATOR,42,1964,31320,371997,11.88,1280000,40.9,0,,,,,,,,,,,,
2-04340-7502,17-R1,2385 BARKER AVENUE,BRONXDALE,R4-ELEVATOR,122,1960,127290,1512205,11.88,5219995,41,2-04340-0086,2255 BARKER AVENUE,BRONXDALE,D1-ELEVATOR,42,1964,31320,371997,11.88,1280000,40.9,0,2-04341-0075,2265 OLINVILLE AVENUE,BRONXDALE,D1-ELEVATOR,40,1962,31320,247936,7.92,640000,20.43,0.05
2-04664-7501,75-R1,720 EAST 217 STREET,WILLIAMSBRIDGE,R2-WALK-UP,24,2006,19225,260114,13.53,949009,49.4,2-03973-0036,1405 ROWLAND STREET,WESTCHESTER,C1-WALK-UP,27,1927,22560,240000,10.64,746000,33.1,3.1,2-04847-0039,800 EAST 223 STREET,WILLIAMSBRIDGE,C1-WALK-UP,23,1927,18850,257707,13.67,801000,42.5,0.35
2-04668-7501,76-R1,724 EAST 221 STREET,WILLIAMSBRIDGE,R2-WALK-UP,24,2005,29320,396699,13.53,1450003,49.5,2-02722-0048,900 FOX STREET,MORRISANIA/LONGWOOD,D5-ELEVATOR,30,1922,31110,410511,13.2,961000,30.9,4.8,2-05047-0006,4360 FURMAN AVENUE,WAKEFIELD,C1-WALK-UP,27,1931,26280,264256,10.06,754000,28.7,1
2-05529-7501,83-R1,24 PENNYFIELD AVENUE,THROGS NECK,R2-WALK-UP,15,2000,12624,173580,13.75,633997,50,2-03077-0050,2463 HUGHES AVENUE,BELMONT,C1-WALK-UP,16,2004,13520,260295,19.25,1130000,84,5.3,2-03145-0028,2273 TIEBOUT AVENUE,FORDHAM,C1-WALK-UP,16,1925,10032,114710,11.43,269000,26.8,5.8
2-05529-7502,82-R1,1 PENNYFIELD AVENUE,THROGS NECK,R2-WALK-UP,45,1998,63738,764856,12,2640002,41.4,2-03805-0078,2001 NEWBOLD AVENUE,WESTCHESTER,C1-WALK-UP,105,1930,91656,1062550,11.59,3670000,40,3.2,2-05640-0018,160 PILOT STREET,CITY ISLAND,D3-ELEVATOR,131,1981,97013,1472563,15.18,3450000,35.6,2.2
2-05604-7501,16-R1,2718 SCHURZ AVENUE,THROGS NECK,R4-ELEVATOR,52,1984,63416,982948,15.5,3890005,61,2-03133-0013,966 EAST 181 STREET,EAST TREMONT,D1-ELEVATOR,42,1915,45000,589996,13.11,1380000,30.7,3.75,2-05606-0001,2631 SCHURZ AVENUE,THROGS NECK,C9-WALK-UP,79,1978,46832,705258,15.06,2790000,60,0.2
2-05606-7502,56-R1,195 BALCOM AVENUE,THROGS NECK,R2-WALK-UP,20,1997,19080,329130,17.25,1300003,68,2-05786-0240,3205 OXFORD AVENUE,RIVERDALE,C1-WALK-UP,12,1985,6260,112594,17.99,446000,71,6.7,2-05786-0241,3203 OXFORD AVENUE,RIVERDALE,C1-WALK-UP,12,1985,6260,107001,17.09,424000,68,6.7
2-05643-7501,60-R1,190 FORDHAM STREET,CITY ISLAND,R2-WALK-UP,16,1897,16605,199260,12,687002,41.4,2-03923-0039,1875 ARCHER STREET,PARKCHESTER,C7-WALK-UP,18,1928,17120,194600,11.37,671000,39.2,4.25,2-04103-0001,1026 MORRIS PARK AVENUE,MORRIS PARK/VAN NEST,C7-WALK-UP,11,1931,8218,160405,19.52,697000,85,3.7
2-05723-7501,84-R1,2287 JOHNSON AVENUE,RIVERDALE,R4-ELEVATOR,73,1983,99590,1219977,12.25,4210026,42.3,2-05796-0129,3660 OXFORD AVENUE,RIVERDALE,D3-ELEVATOR,77,1967,106934,1247910,11.67,4310000,40.3,0.8,2-05903-0283,3611 HENRY HUDSON PARKWAY,RIVERDALE,D3-ELEVATOR,123,1951,134000,1833978,13.69,6690000,49.9,0.7
2-05725-7501,11-R1,2600 HENRY HUDSON PARKWAY,RIVERDALE,R4-ELEVATOR,24,1941,35000,476000,13.6,1740003,49.7,2-05716-0287,2475 PALISADE AVENUE,RIVERDALE,D1-ELEVATOR,25,1932,31098,495336,15.93,1960000,63,0.3,2-05781-1100,3900 HENRY HUDSON PARKWAY,RIVERDALE,D1-ELEVATOR,37,1928,37962,396156,10.44,1230000,32.4,0.8
2-05745-7501,28-R1,2521 PALISADE AVENUE,RIVERDALE,R4-ELEVATOR,36,1986,62350,779375,12.5,2690002,43.1,2-03239-0031,2682 BAILEY AVENUE,KINGSBRIDGE HTS/UNIV HTS,D1-ELEVATOR,55,1960,67175,679449,10.11,1940000,28.9,1.2,2-05907-0352,3800 INDEPENDENCE AVENUE,RIVERDALE,D1-ELEVATOR,72,1970,84925,1051024,12.38,3630000,42.7,0.65
2-05771-7501,41-R1,3636 FIELDSTON ROAD,RIVERDALE,R9-CONDOPS,106,1962,132000,1584000,12,5240000,39.7,2-05792-0430,530 WEST 236 STREET,RIVERDALE,D7-ELEVATOR,86,1954,103392,1420151,13.74,5180000,50,0.1,2-05796-0129,3660 OXFORD AVENUE,RIVERDALE,D3-ELEVATOR,77,1967,106934,1247910,11.67,4310000,40.3,0.1
2-05777-7501,79-R1,3816 WALDO AVENUE,KINGSBRIDGE/JEROME PARK,R4-ELEVATOR,25,2004,59005,826070,14,3019992,51,2-03984-0001,1400 BENSON STREET,WESTCHESTER,D6-ELEVATOR,67,1928,55272,887092,16.05,3510000,64,4.45,2-04753-0029,3333 BRUNER AVENUE,BAYCHESTER,D1-ELEVATOR,23,2000,30000,381809,12.73,1320000,44,3.3
2-05780-7501,40-R1,3900 GREYSTONE AVENUE,RIVERDALE,R4-ELEVATOR,78,1928,95061,1093201,11.5,3770002,39.7,2-05780-0940,3900 GREYSTONE AVENUE,RIVERDALE,D1-ELEVATOR,127,1928,134703,1461293,10.85,4540000,33.7,0,,,,,,,,,,,,
2-05787-7501,30-R1,3240 NETHERLAND AVENUE,RIVERDALE,R4-ELEVATOR,15,1988,10108,186998,18.5,740001,73,2-03145-0025,2283 TIEBOUT AVENUE,FORDHAM,C1-WALK-UP,16,1925,9424,114371,12.14,268000,28.4,2.1,2-05798-0101,3615 OXFORD AVENUE,RIVERDALE,C1-WALK-UP,15,1980,7550,164391,21.77,714000,95,0.2
2-05788-7501,106-R1,3220 ARLINGTON AVENUE,RIVERDALE,R4-ELEVATOR,26,2004,105300,2737800,26,13517540,128,2-05722-0475,2600 NETHERLAND AVENUE,RIVERDALE,D7-ELEVATOR,608,1975,844578,15461375,18.31,61200000,72,0.5,2-05909-0825,630 WEST 246 STREET,RIVERDALE,D3-ELEVATOR,403,1958,443283,8806810,19.87,38200000,86,0.45
2-05789-7501,32-R1,3220 FAIRFIELD AVENUE,RIVERDALE,R4-ELEVATOR,32,1989,30743,430402,14,1570002,51,2-05722-0475,2600 NETHERLAND AVENUE,RIVERDALE,D7-ELEVATOR,608,1975,844578,15461375,18.31,61200000,72,0.45,2-05791-0388,511 WEST 235 STREET,RIVERDALE,D7-ELEVATOR,55,1936,64000,814380,12.72,2810000,43.9,0.3
2-05798-7501,62-R1,3614 JOHNSON AVENUE,RIVERDALE,R4-ELEVATOR,15,2002,14969,278423,18.6,1099998,73,2-03121-0038,906 EAST 178 STREET,EAST TREMONT,D1-ELEVATOR,35,2008,36596,681492,18.62,1600000,43.7,3.35,2-05907-0348,3725 BLACKSTONE AVENUE,RIVERDALE,D1-ELEVATOR,42,1968,41803,622298,14.89,2270000,54,0.2
2-05798-7502,67-R1,3625 OXFORD AVENUE,RIVERDALE,R4-ELEVATOR,23,2005,40468,607020,15,2219991,55,2-04847-0039,800 EAST 223 STREET,WILLIAMSBRIDGE,C1-WALK-UP,23,1927,18850,257707,13.67,801000,42.5,2.7,2-05798-0101,3615 OXFORD AVENUE,RIVERDALE,C1-WALK-UP,15,1980,7550,164391,21.77,714000,95,0
2-05857-7501,19-R1,5775 MOSHOLU AVENUE,RIVERDALE,R4-ELEVATOR,68,1962,71146,996044,14,3640000,51,2-05907-0352,3800 INDEPENDENCE AVENUE,RIVERDALE,D1-ELEVATOR,72,1970,84925,1051024,12.38,3630000,42.7,1.35,2-05920-0670,3801 HUDSON MANOR TERRACE,RIVERDALE,D1-ELEVATOR,135,1960,152400,2104803,13.81,7680000,50,1.35
2-05903-7501,92-R1,640 WEST 237 STREET,RIVERDALE,R4-ELEVATOR,65,2006,163887,4097175,25,17799993,109,2-05722-0475,2600 NETHERLAND AVENUE,RIVERDALE,D7-ELEVATOR,608,1975,844578,15461375,18.31,61200000,72,0.65,2-05909-0825,630 WEST 246 STREET,RIVERDALE,D3-ELEVATOR,403,1958,443283,8806810,19.87,38200000,86,0.3
2-05904-7501,63-R1,3800 BLACKSTONE AVENUE,RIVERDALE,R4-ELEVATOR,12,2004,20280,314340,15.5,1240002,61,2-05716-0287,2475 PALISADE AVENUE,RIVERDALE,D1-ELEVATOR,25,1932,31098,495336,15.93,1960000,63,0.9,2-03802-0028,2040 GLEASON AVENUE,CASTLE HILL/UNIONPORT,C1-WALK-UP,33,1964,20971,287467,13.71,1050000,50,4.9
2-05923-7501,6-R1,4455 DOUGLAS AVENUE,RIVERDALE,R4-ELEVATOR,177,1955,292370,5116475,17.5,20300000,69,2-05909-0163,3950 BLACKSTONE AVENUE,RIVERDALE,D1-ELEVATOR,176,1959,237000,2849258,12.02,9830000,41.5,0.3,2-05909-0825,630 WEST 246 STREET,RIVERDALE,D3-ELEVATOR,403,1958,443283,8806810,19.87,38200000,86,0.3
2-05944-7501,38-R1,4961 HENRY HUDSON PARKWAY,RIVERDALE,R2-WALK-UP,12,1940,15934,216702,13.6,791003,49.6,2-05333-0106,1235 BRADFORD AVENUE,SCHUYLERVILLE/PELHAM BAY,C1-WALK-UP,13,1929,6510,106680,16.39,422000,65,5.9,2-05396-0001,1544 GILLESPIE AVENUE,SCHUYLERVILLE/PELHAM BAY,C7-WALK-UP,24,1929,17512,226958,12.96,828000,47.3,5.5
